(-90,-180)
(-90,-144)
(-90,-108)
(-90,-72)
(-90,-36)
(-90,0)
(-90,36)
(-90,72)
(-90,108)
(-90,144)
(-72,-180)
(-72,-144)
(-72,-108)
(-72,-72)
(-72,-36)
(-72,0)
(-72,36)
(-72,72)
(-72,108)
(-72,144)
(-54,-180)
(-54,-144)
(-54,-108)
(-54,-72)
(-54,-36)
(-54,0)
(-54,36)
(-54,72)
(-54,108)
(-54,144)
(-36,-180)
(-36,-144)
(-36,-108)
(-36,-72)
(-36,-36)
(-36,0)
(-36,36)
(-36,72)
(-36,108)
(-36,144)
(-18,-180)
(-18,-144)
(-18,-108)
(-18,-72)
(-18,-36)
(-18,0)
(-18,36)
(-18,72)
(-18,108)
(-18,144)
(0,-180)
(0,-144)
(0,-108)
(0,-72)
(0,-36)
(0,0)
(0,36)
(0,72)
(0,108)
(0,144)
(18,-180)
(18,-144)
(18,-108)
(18,-72)
(18,-36)
(18,0)
(18,36)
(18,72)
(18,108)
(18,144)
(36,-180)
(36,-144)
(36,-108)
(36,-72)
(36,-36)
(36,0)
(36,36)
(36,72)
(36,108)
(36,144)
(54,-180)
(54,-144)
(54,-108)
(54,-72)
(54,-36)
(54,0)
(54,36)
(54,72)
(54,108)
(54,144)
(72,-180)
(72,-144)
(72,-108)
(72,-72)
(72,-36)
(72,0)
(72,36)
(72,72)
(72,108)
(72,144)
(90,-180)
(90,-144)
(90,-108)
(90,-72)
(90,-36)
(90,0)
(90,36)
(90,72)
(90,108)
(90,144)
