(45.0,64.8)
(45.0,79.2)
(45.0,93.6)
(45.0,108.0)
(45.0,122.4)
(45.0,136.8)
(45.0,151.2)
(45.0,165.6)
(45.0,180.0)
(60.0,-180.0)
(60.0,-165.6)
(60.0,-151.2)
(60.0,-136.8)
(60.0,-122.4)
(60.0,-108.0)
(60.0,-93.6)
(60.0,-79.2)
(60.0,-64.8)
(60.0,-50.4)
(60.0,-36.0)
(60.0,-21.6)
(60.0,-7.2)
(60.0,7.2)
(60.0,21.6)
(60.0,36.0)
(60.0,50.4)
(60.0,64.8)
(60.0,79.2)
(60.0,93.6)
(60.0,108.0)
(60.0,122.4)
(60.0,136.8)
(60.0,151.2)
(60.0,165.6)
(60.0,180.0)
(75.0,-180.0)
(75.0,-165.6)
(75.0,-151.2)
(75.0,-136.8)
(75.0,-122.4)
(75.0,-108.0)
(75.0,-93.6)
(75.0,-79.2)
(75.0,-64.8)
(75.0,-50.4)
(75.0,-36.0)
(75.0,-21.6)
(75.0,-7.2)
(75.0,7.2)
(75.0,21.6)
(75.0,36.0)
(75.0,50.4)
(75.0,64.8)
(75.0,79.2)
(75.0,93.6)
(75.0,108.0)
(75.0,122.4)
(75.0,136.8)
(75.0,151.2)
(75.0,165.6)
(75.0,180.0)
(90.0,-180.0)
(90.0,-165.6)
(90.0,-151.2)
(90.0,-136.8)
(90.0,-122.4)
(90.0,-108.0)
(90.0,-93.6)
(90.0,-79.2)
(90.0,-64.8)
(90.0,-50.4)
(90.0,-36.0)
(90.0,-21.6)
(90.0,-7.2)
(90.0,7.2)
(90.0,21.6)
(90.0,36.0)
(90.0,50.4)
(90.0,64.8)
(90.0,79.2)
(90.0,93.6)
(90.0,108.0)
(90.0,122.4)
(90.0,136.8)
(90.0,151.2)
(90.0,165.6)
(90.0,180.0)
(0.0,0.0)
